Id,Sex,НЕВЕРОТН 1  Невероятные приключения итальянцев в России,ТЕЛОХРАН 2  Телохранитель,КАВКАЗСК 3  Кавказская пленница или Новые приключения Шурика,ПТЫЙ_ЭЛЕ 4  Пятый элемент,ТЕРМИНАТ 5  Терминатор,КРЕПКИЙ 6  Крепкий орешек,ПОЛИЦ_АК 7  Полицейская академия,ЧУЖИЕ 8  Чужие,КРОКОДИЛ 9  Крокодил Данди,ЗДРАВСТВ 10  Здравствуйте  я ваша тетя!,ИРОНИ_СУ 11  Ирония судьбы или с легким паром,КРАСОТКА 12  Красотка,МАТРИЦА 13  Матрица,ТИТАНИК 14  Титаник,К_9 15  К-9,НАЗАД_В 16  Назад в будущее,САМА_ОБА 17  Сама обательная и привлекательна,БЛИЗНЕЦЫ 18  Близнецы,СОБАЧЬЕ 19  Собачье сердце,СОБАКА_Б 20  Собака Баскервилей,МЕСТО_ВС 21  Место встречи изменить нельзя,ГОРЕЦ 22  Горец,СЛУЖЕБНЫ 23  Служебный роман,ОС_РЫБ 25  Особенности национальной рыбалки,ОС_ОХОТЫ 26  Особенности национальной охоты,ДЕСТЬ_НЕ 27  Десть негритят,ТЕРМИНA2 28  Терминатор 2: судный день,ВОКЗАЛ_Д 29  Вокзал для двоих,ГЕНИЙ 30  Гений,ИВАН_ВАС 31  Иван Васильевич меняет профессию,РОККИ 32  Рокки,ОДИН_ДОМ 33  Один дома,САМОГОНЩ 34  Самогонщики,ОБЫКНОВЕ 35  Обыкновенное чудо,В_БОЙ_ИД 36  В бой идут одни старики,ПАРК_ЮРС 37  Парк Юрского периода,МОСКВА_С 38  Москва слезам не верит,БЕЛОЕ_СО 39  Белое солнце пустыни,ЛЮДИ_В_Ч 40  Люди в черном,ОДИН_ДМ2 41  Один дома 2: потерянный в Нью-Йорке,ХИЩНИК 42  Хищник,ВСПОМНИТ 43  Вспомнить все,ИНТЕРДЕВ 44  Интердевочка,ЧЕЛЮСТИ 45  Челюсти,ЛЕОН 46  Леон,ПОЛИЦ_ДС 47  Полицейский из детского сада,ОТ_ЗАКАТ 48  От заката до рассвета,ПРАВДИВА 49  Правдивая ложь,АРМАГЕДД 50  Армагеддон,А_ЗОРИ_З 51  А зори здесь тихие,ДВОЙНОЙ 52  Двойной удар,МАСКА 53  Маска,БЛЕФ 54  Блеф,ДЕНЬ_СУР 56  День сурка,БЕГУЩИЙ 57  Бегущий человек,ЗИМН_ВИШ 58  Зимняя вишня,ТУТСИ 59  Тутси,НА_ДЕРИБ 60  На Дерибасовской хороша погода или на Брайтон Бич всегда идут дожди,ТРИ_ПЛЮС 61  Три плюс два,ЧАРОДЕИ 62  Чародеи,БАБНИК 63  Бабник,ЗУБАСТИК 64  Зубастики,ИГРУШКА 65  Игрушка (Франция),ВЫСОКИЙ 66  Высокий блондин в черном ботинке,ГАЗОНОКО 67  Газонокосильщик,ЧЕЛОВЕК 68  Человек дождя,МАЛЕНЬКИ 69  Маленький гигант большого секса,ПОКРОВСК 70  Покровские ворота,КРЕПК_2 71  Крепкий орешек 2,СИБИРСКИ 72  Сибирский цирюльник,МОЛЧАНИЕ 73  Молчание ягнят,ЭКИПАЖ 74  Экипаж,КОММАНДО 75  Коммандос,ФОРРЕСТ 76  Форрест Гамп,ДОРОГА_ 77  Дорогая  я уменьшил детей,УКРОЩЕНИ 78  Укрощение строптивого,ПРОФЕССИ 79  Профессионал,ДЖУМАНДЖ 80  Джуманджи,ГОРЧИЕ_Г 81  Горячие головы,ПОСЛЕДНИ 82  Последний бойскаут,ДЖЕНТЛЬМ 83  Джентльмены удачи,СПИСОК_Ш 84  Список Шиндлера,В_ДЖАЗЕ 85  В джазе только девушки,ЗВЕЗДНЫЙ 86  Звездный десант,ОТПЕТЫЕ 87  Отпетые мошенники,АДВОКАТ 88  Адвокат дьявола,ПАПАШИ 89  Папаши,ЕСЛИ_НАС 90  Если наступит завтра,В_ЗОНЕ_О 91  В зоне особого внимания,ГРЗНЫЕ_Т 92  Грязные танцы,СОРОК_ВО 93  Сорок восемь,ЗАХВАТ 94  Захват,БЕТХОВЕН 95  Бетховен,ДОСПЕХИ 96  Доспехи Бога,ЧАСТНЫЙ 97  Частный детектив или операция-кооперация,ШЕСТОЕ_Ч 98  Шестое чувство,СКАЛОЛАЗ 99  Скалолаз,ГАРАЖ 100  Гараж,МЭВЕРИК 101 Мэверик,ИНТРОВЕР 102 Интроверсия-Экстраверсия (тест Айзенка),ЭМОЦИОНА 103 Эмоциональная устойчивость-Невротизм (тест Айзенка),E_I__КЕЙ 104 E/I (тест Кейpси),S_N__КЕЙ 105 S/N (тест Кейpси),T_F__КЕЙ 106 T/F (тест Кейpси),J_P__КЕЙ 107 J/P (тест Кейpси),ЗАМКНУТО 108 Замкнутость-Общительность (тест Кэттелла),УРОВЕНЬ 109 Уровень интеллекта (тест Кэттелла),ЭМОЦИОНА 110 Эмоциональная неустойчивость-Устойчивость (тест Кэттелла),НЕДОБРОС 111 Недобросовестность-Высокая совестливость (тест Кэттелла),ПОДЧИНЕН 112 Подчиненность-Доминантность (тест Кэттелла),ОЗАБОЧЕН 113 Озабоченность-Беспечность (тест Кэттелла),РОБОСТЬ_ 114 Робость-Смелость (тест Кэттелла),ЖЕСТКОСТ 115 Жесткость-Чувствительность (тест Кэттелла),ДОВЕРЧИВ 116 Доверчивость-Подозрительность (тест Кэттелла),ПРАКТИЧН 117 Практичность-Мечтательность (тест Кэттелла),ПРМОЛИНЕ 118 Прямолинейность-Дипломатичность (тест Кэттелла),САМОУВЕР 119 Самоуверенность-Тревожность (тест Кэттелла),КОНСЕРВА 120 Консерватизм-Радикализм (тест Кэттелла),ЗАВИСИМО 121 Зависимость от группы-Самостоятельность (тест Кэттелла),НИЗКИЙ_В 122 Низкий-Высокий самоконтроль поведения (тест Кэттелла),РАССЛАБЛ 123 Расслабленность-Напряженность (тест Кэттелла),IQ 124 IQ,ВЕРБАЛЬН 125 Вербальный интеллект,ЧИСЛОВОЙ 126 Числовой интеллект,ПРОСТРАН 127 Пространственный интеллект,РАВЕН 128 Невербальный интеллект (тест Равена),ОСВЕДОМЛ 129 Осведомленность (тест Амтхауэра),КЛАССИФИ 130 Классификация (тест Амтхауэра),АНАЛОГИИ 131 Аналогии (тест Амтхауэра),ОБОБЩЕНИ 132 Обобщение (тест Амтхауэра),МАТЕМАТ1 133 Математические способности (практическое мышление) (тест Амтхауэра),МАТЕМАТ2 134 Математические способности (теоретическое мышление) (тест Амтхауэра),КОМБИНАТ 135 Комбинаторное мышление (тест Амтхауэра),ПРОСТРАН 136 Пространственное воображение (тест Амтхауэра),ЗАПОМИНА 137 Запоминание и воспроизведение информации (тест Амтхауэра),ВОЗPАСТ 139 Возpаст,AGE_CAT 139,ОБPАЗОВА 140 Обpазование,EDU_CAT 140,УPОВЕНЬ 141 Уpовень доходов,АСИММЕТP 142 Асимметpия полушаpий,АКТИВНОС 181 Активность и сила (ЛД),ДОБРОСЕР 182 Добросердечность (ЛД),ТРУДОВЫЕ 183 Трудовые качества (ЛД),ОБЩА_ОЦЕ 184 Общая оценка (ЛД),ОБЩИТЕЛЬ 185 Общительность и эмоциональность (ЛД),АНЕКДОТЫ 186 Анекдоты (оценка чувства юмора),ТЮФ 187 ТЮФ (оценка чувства юмора),ФОТО_СPЕ 188 Фото-сpедняя оценка,ФОТО_СКО 189 Фото-СКО,ФОТО_ЗАН 190 Фото-занижение-завышение оценки,РУКА_ПЕР 191 Рука-переплетение пальцев рук - ведущая,РУКА_ИМИ 192 Рука-имитация аплодисментов - ведущая,РУКА_СКР 193 Рука-скрещивание рук на груди - ведущая,HОГА 194 Hога - ведущая,ГЛАЗ 195 Глаз - ведущая,РУКОЙ_ПИ 196 Рука  которой пишут,ПЕРЕУЧИВ 197 Переучивали ли писать  если левша,САМООПPЕ 198 Самоопpеделение пpавша-левша,БОК_ПРЕД 199 Бок  на котором предпочитают спать,ГЛАЗ_У_В 200 Глаз  который обычно шире открыт
234,2,7,9,8,9,8,7,7,8,8,9,8,9,9,5,9,9,7,7,5,9,10,10,9,6,9,9,9,5,10,9,3,7,7,8,6,8,9,9,9,5,6,5,7,5,8,7,5,9,6,2,6,8,8,10,7,4,8,7,9,7,,7,8,8,5,8,5,9,7,3,8,8,7,4,5,8,6,8,7,7,,,9,,9,,8,10,,,6,,,9,,7,,,10,15,15,8,6,5,8,9,6,3,7,5,5,7,8,5,9,5,8,7,3,2,9,125,152.5,,136.24,96,,,,,,,,,,,,,,,1,,,,,,6.673,,,,,1,2,1,1,1,,,,,
235,1,5,7,10,5,7,9,5,10,5,8,7,,12,8,,7,1,6,8,4,10,7,7,8,9,9,10,,,4,4,8,9,,5,7,6,2,,7,6,,6,6,3,4,10,5,7,3,,10,8,,5,6,3,7,,3,,5,8,,8,,4,8,10,,7,6,9,7,7,8,1,5,,,10,,8,5,,6,7,,,1,4,,7,,3,,,9,,8,18,4,7,14,15,3,4,9,8,4,6,8,4,6,9,8,7,10,9,7,8,,,,141.68,,,,,,,,,,,30,3,5,3,2,4,0.001,-0.046,-0.081,0.594,-0.199,,,,,,,,,,,,,,,
236,1,9,8,10,10,8,9,9,9,7,,3,9,10,10,,11,,,11,10,8,10,3,4,10,12,10,3,10,8,9,10,7,9,8,9,5,10,,11,9,10,8,6,10,8,,,6,7,6,11,,,9,,,8,,11,,10,9,8,10,,,7,10,,,10,9,,10,7,,10,9,,10,,,10,,,9,,8,,,7,,11,9,,8,,,15,13,6,8,12,12,11,3,12,4,5,4,8,7,4,6,4,2,8,8,9,9,,,,,95,16,14,11,10,12,12,13,17,,30,3,5,3,2,,,,,,,,,,,,,,,,,,,,,
237,2,9,9,12,9,7,7,10,8,6,10,12,12,9,10,9,9,9,9,10,10,11,8,12,6,6,8,8,10,9,12,8,5,8,12,10,8,11,7,11,6,6,7,10,6,5,7,5,8,7,9,6,,8,7,6,10,9,,10,8,3,4,,6,5,8,7,9,6,10,,,7,8,4,,8,6,8,6,,6,,6,9,,,8,4,,8,,,,,,,,,10,17,4,8,3,13,6,5,9,6,7,8,8,11,7,11,6,9,12,6,7,6,,,,,,,,,,,,,,,33,4,3,1,1,2,,,,,,,6.1,,,,1,1,2,1,2,,,,,
238,2,7,6,5,7,4,4,6,4,6.5,7,7,7,8,5,,7.5,8,6,7,8,9,5,8,4,6,8,2,8,,6,3,4,4,9,5,5,7.5,7,7,3,,3,7,4,7,4,6,,6,9,4,7,6.5,8,5,7,7,3,6,6.5,6,4,6.5,7.5,4,8,5,10,4,8,7,7,5,7,4,7,7,5,6,4,,5,6.5,4,5,,7.5,,5,,4,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,,4,,,,,,,5.48,4.423,1.984,0.022,2,2,2,2,1,1,1,3,2,2
239,1,7,9,7,,8,7,4,,9,9,7,7,7,8,8,7,,,10,8,12,7,10,7,7,8,,9,9,7,,7,7,10,12,9,10,9,8,7,,7,8,,,7,9,,,10,,,8,8,,8,9,,,9,7,,,7,6,,7,,,12,,,,,5,,7,5,,,,12,,,,,,,8,,9,,,,,,,,,7,8,2,14,12,13,9,2,10,5,5,9,8,5,7,4,5,4,6,6,8,4,130,155,112.5,136.24,100,15,9,,,,,,,,38,4,,,,3,0.225,-0.715,0.427,-0.944,-0.447,7.288,7,5.357,2.091,1.391,2,1,2,1,2,,,,,
240,1,7,6.5,7,6.5,6,6.5,7,5,6,7.5,6.5,6.5,6.5,7.5,7,6.5,6.5,7,8,7,7,7,7.5,5,7,6.5,6,6,6.5,6.5,6.5,7.5,7,7,6.5,6,7,7.5,6,7,6.5,5,4,5,6.5,5,7,6,,6.5,5,7,7,7,6.5,5,7.5,4,,5,5,4,7,7,6.5,7,6,5,6,7.5,6.5,6,5,7.5,6,7,6.5,6.5,6,6,,7.5,7,,5,,7.5,6,6,,6.5,,,6,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4,5,3,2,2,,,,,,4.846,4.54,4.33,1.346,-0.146,1,2,1,1,2,1,4,1,3,2
241,1,6,5,8,7,7,8,5,9,6,9,9,5,7,5,6,9,5,5,8,,9,,6,5,9,6,6,7,6,8,3,6,5,9,8,5,7,7,8,4,4,7,5,4,9,5,8,7,6,5,4,6,,9,,,6,4,,9,6,,7,,3,5,5,11,7,8,5,,6,8,3,,,5,6,8,9,8,9,,,4,8,,,7,,,6,,4,,5,,,15,12,4,13,13,12,11,6,11,7,7,9,9,7,5,10,5,6,5,4,6,5,127.5,,,,93,,,,,,,,,,27,3,6,4,2,,,,,,,5.442,,,,,,,,,,,,,,
242,2,7,6,8,7,6,8,6,,7,10,9,8,,,8,,7,7,8,6,9,,8,,,,6,8,6,9,,7,,7,7,5,7,8,,6,,6,5,,,,,7,,7,,,,8,,6,7,,8,6,6,,,,,,5,7,7,,10,,,10,,,,8,,,8,,,,,,,,,,,,,,,,,9,,8,17,4,17,13,20,2,5,5,4,2,12,6,5,8,5,2,10,7,9,12,10,122.5,132.5,115,121.28,57,17,15,13,16,9,11,13,11,17,25,2,4,2,2,1,0.083,-0.718,1.105,-0.507,-0.098,7.558,5.28,4.838,1.344,0.533,1,1,2,1,1,,,,,
243,1,6,5,6,7,5,,4,,7,2,3,6,5,,,7,7,,5,9,10,1,6,6,7,4,6,,6,4,,3,7,8,9,6,9,5,,2,6,5,6,,10,5,5,,,8,,7,,7,4,,,5,6,7,,,8,5,,,,8,5,4,7,,4,9,4,,7,8,,6,,7,8,8,,,,,,,,,,,,,,,,9,13,4,13,8,15,7,3,7,2,4,2,6,8,5,11,5,7,12,8,7,4,137.5,120,120,140.32,109,17,11,17,17,17,19,19,20,19,25,2,6,4,1,4,,,,,,4.731,4.54,5.167,1.067,0.688,,,,,,,,,,
244,2,7,10,8,10,8,7,4,10,7,10,4,11,,10,11,12,9,10,9,5,8,6,6,5,4,5,12,7,10,12,2,9,6,6,8,12,12,10,11,7,8,12,8,6,10,,10,,,10,7,2,6,6,4,7,9,6,7,6,,6,7,4,5,6,4,,6,9,12,9,8,,6,8,,4,7,,,10,10,,,,11,,,,,,,5,,12,,,,,,8,6,8,12,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,25,2,5,3,2,5,0.115,0.639,0.587,0.229,0.165,,4.56,,,,2,2,2,2,2,1,4,1,2,2
245,2,10,10,9,10,9,9,10,2,8,9,9,8,12,12,9,12,11,9,9,8,10,7,11,7,7,6,9,10,9,10,5,6,6,7,8,3,11,9,9,6,6,10,8,5,9,9,8,10,11,7,,9,9,10,9,8,10,9,,,8,7,10,8,10,8,5,8,7,10,10,,3,11,6,10,7,9,7,,,,7,10,8,,8,9,,,8,,,7,,8,,,,19,12,6,11,6,8,11,5,9,6,3,8,10,10,3,8,12,6,12,4,3,3,,,,,,,,,,,,,,,26,3,6,4,1,,,,,,,9.212,8.64,4.329,1.668,0.179,,,,,,,,,,
246,2,7,10,10,5,7,5,6,4,8,9,12,10,9,6,5,9,7,5,12,7,7,7,12,5,5,7,7,9,5,10,6,9,9,9,7,7,12,10,5,7,6,5,6,7,8,9,5,5,5,7,7,7,9,7,5,6,9,5,7,7,4,5,10,10,6,7,5,9,6,7,7,6,4,8,7,10,10,9,5,5,12,10,10,5,5,,9,5,5,,5,,,5,,5,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,5,3,2,,-0.905,1.246,-0.413,-0.167,0.284,,8.72,7.412,2.211,2.96,,,,,,,,,,
247,2,7,9,10,6,7,7,7,9,7,8,10,10,9,9,7,9,9,9,5,8,9,6,9,7,5,7,6,6,7,9,6,7,7,5,8,6,8,7,5,5,6,7,9,5,7,8,6,9,6,9,,4,9,10,6,7,7,5,9,7,6,,10,8,3,9,5,7,5,4,5,8,,9,,8,7,6,,,,,9,4,,,8,,,,,,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,,,,2,-2.034,0.945,-0.056,0.14,-0.434,,3.24,3.429,1.441,-0.755,2,1,1,2,1,1,4,1,1,1
248,1,6,6,10,10,7,10,8,10,9,3,9,7,8,1,9,10,6,9,8,10,10,6,4,10,10,8,9,1,9,10,5,4,10,2,7,6,10,10,8,4,9,8,3,8,10,10,8,5,1,4,5,,10,11,10,5,5,,8,8,3,10,,10,6,7,4,4,10,7,,,7,10,1,,10,10,10,10,,10,,4,9,,,9,7,,8,,,,,,,,,7,14,4,8,9,13,5,5,7,4,2,10,7,5,4,7,4,6,10,3,8,6,,,,,93,,,,,,,,,,23,2,4,2,2,,,,,,,,,,,,,,,,,,,,,
249,1,9,7,10,7,8,7,6,7,7,10,12,7,8,6,,10,7,7,12,8,10,7,9,5,5,7,7,8,6,11,6,8,9,10,7,7,10,12,5,7,7,8,6,6,8,6,6,7,8,9,7,6,10,8,7,8,9,4,8,6,6,6,7,9,7,9,6,9,7,6,9,8,5,10,7,8,7,6,7,7,,6,11,6,7,,8,6,5,,6,,,,,7,,,,16,18,4,14,8,14,7,5,5,8,7,6,8,7,4,7,4,9,6,8,6,8,140,182.5,142.5,129.44,100,,,,,,,,,,39,4,5,3,2,,,,,,,,4.8,,,,,,,,,,,,,
250,2,5,6,6,7,9,10,7,9,7,7,1,6,5,10,7,11,3,8,7,2,5,5,3,2,3,2,10,4,1,8,6,9,8,1,5,8,5,9,9,7,8,10,1,9,3,8,1,11,6,6,5,3,6,7,8,4,6,3,5,4,2,6,3,3,6,7,1,5,8,1,12,1,9,9,7,5,5,8,9,9,7,,6,8,6,,4,8,,9,6,8,9,6,2,10,6,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,3,-1.351,-0.243,0.369,0.214,-0.094,6.173,3.32,3.826,1.606,-0.204,2,2,1,1,2,1,4,2,2,2
251,2,7,7,9,8,8,5,1,7,,10,9,5,5,1,5,9,10,8,8,10,10,6,12,1,1,8,8,10,10,9,2,8,9,12,8,5,12,12,8,6,5,,7,,10,10,6,,0.1,8,3,,12,6,,,9,6,8,,,7,,8,7,9,3,10,7,,10,9,4,5,4,10,11,7,,7,12,,10,,,8,,,,5,,8,7,,6,,,9,,17,10,6,13,15,8,7,6,10,5,4,4,9,8,7,10,5,4,8,5,7,3,132.5,,,137.6,,,,,,,,,,,24,2,5,3,2,1,,,,,,,4.54,,,,,,,,,,,,,
252,1,8,6,7,10,7,8,4,6,7,10,11,6.5,12,3,8,7,7.5,6.5,10,9,9,6.5,8,7,7,8,7,7,8,8,4,6.5,6.5,8,7,5,7,6,6.5,5,6,7,7,6,10,6,6.5,6,4,8,2,8,8,9,5,5,7,6,6.5,6.5,9,4,9,7,8,12,10,7.5,8,5,8,6.5,6.5,11,5,9,8,7,5,8,,7,6,6.5,7,,7,8,5,,7,,,6.5,,12,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,4,2,2,5,,,,,,,,,,,2,2,2,2,2,1,4,1,1,1
253,1,8,,10,8,9,8,7,8,8,7,12,7,5,7,8,10,7,8,10,8,12,,10,6,7,7,9,7,9,10,5,6,8,12,12,7,10,10,9,,10,9,7,6,,6,,8,4,9,,6,10,11,8,6,7,3,5,4,7,,7,8,,10,,10,7,7,,7,7,8,,8,10,6,7,,,,7,7,7,,,,6,,9,5,,6,4,,,10,,6,11,2,13,15,16,5,5,7,2,3,2,5,5,8,7,7,9,2,8,7,4,,,,,105,,,,,,,,,,27,3,5,3,,4,,,,,,7.692,5.86,,,,,,,,,,,,,
254,1,11,9,11,6,6,4,9,6,7,9,11,8,8,5,6,8,9,6,5,6,6,7,8,8,9,8,2,8,9,8,3,7.5,10,11,6.5,6,11,2,6,8,,6,5,3,,7.5,5,4,6,,,7,,9,8,6,,8,,12,6,7.5,,,10,7,5,12,2,,7,,2,4,3,6,2,8,7,,7,,7,2,7.5,,7,,,10,,,9,7.5,,,,,,13,16,10,8,8,8,9,6,11,8,11,6,12,9,4,5,3,4,9,2,6,7,112.5,140,,125.36,88,,,,,,,,,,26,3,6,4,2,4,,,,,,8.173,6.68,4.081,2.173,0.139,,,,,,,,,,
255,2,8,7,6,6,5,9,5,8,8,7,7,7,,,5,,6.5,6.5,11,7,8,,7,,,7,3,,4,7,2,9,,,9,,8,7,4,7,,6.5,5,2,,8,3,,,7,,,,6.5,6,6.5,5,,6.5,6.5,6,,6.5,,,,,,8,10,9,6,,10,,4,6,,7,,8,,10,,,,6,,,9,,8,6,,2,,8,7,,16,10,8,8,8,12,10,6,10,3,9,4,9,10,2,9,2,4,8,6,6,5,137.5,197.5,,,104,,,,,,,,,,28,3,5,3,2,3,-0.006,1.543,-1.139,0.667,0.452,7.788,5.34,6.222,1.315,1.734,,,,,,,,,,
256,1,5,5,7,6,6,9,7,,7,8,9,,,6,9,8,7,5,7,9,7,,8,7,6,9,7,6,7,8,6,,6,7,7,,7,7,,,6,6,5,,,7,6,,7,6,3,6,7,11,6,3,6,7,7,8,3,,7,6,,,6,7,6,,,,,,,8,7,,9,10,7,,7,,,,6,,7,,,,7,,7,,,8,,17,18,6,12,8,12,5,4,8,7,2,6,11,5,7,7,4,5,10,5,4,6,97.5,,,,73,,,,,,,,,,25,2,5,3,2,4,0.734,-1.714,-0.951,0.123,0.823,,5.36,,,,,,,,,,,,,
257,1,7,,10,7,7,7,7,7,6,8,9,10,,4,7,7,,7,12,7,10,6,7,7,7,6,6,9,,11,4,7,10,,10,7,6,11,8,8,8,6,6,4,9,8,7,,6,10,6,6,8,7,6,,10,4,,7,,,10,8,4,10,6,,7,7,10,,6,6,,7,9,7,9,7,,9,9,8,6,,8,,9,,7,,,6,,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,5,3,1,5,0.905,-1.002,0.163,-0.42,0.465,,4.82,6.19,1.789,1.494,2,2,2,2,2,1,4,1,2,2
258,2,8,4,8,9,9,5,5,,8,12,11,8,,,,10,8,5,10,,12,4,12,2,2,10,9,8,9,9,,8,8,11,10,7,12,11,,5,,5,6,,9,9,5,6,,10,1,1,,,,,,8,9,8,,2,12,6,7,12,2,,5,,11,,7,12,8,8,5,8,1,,11,,8,,,,,8,,,4,,,,,6,,,,19,11,9,4,7,5,10,4,9,8,11,6,12,9,8,6,2,4,8,4,3,5,117.5,147.5,,114.48,62,,,,,,,,,,25,2,4,2,1,3,,,,,,7.635,7.14,4.186,2.203,-0.104,,,,,,,,,,
259,2,7,,9,4,,,,7,7,10,9,10,,7,5,8,7,,9,9,7,2,9,7,7,8,,9,,8,,8,8,10,9,7,8,7,,7,,,7,7,,,,,,9,4,,,11,,8,9,6,5,8,6,,,7,,11,5,10,,9,8,8,,10,,,,,,,7,,9,,,,,,,,,,6,,,,,,,7,14,4,8,8,5,6,5,5,5,6,2,8,11,3,12,5,7,8,11,7,5,135,160,117.5,140.32,76,15,17,17,16,13,,18,19,20,25,2,5,3,,5,-0.28,0.795,-1.137,0.115,-0.658,5.327,5.06,5.053,1.099,0.845,,,,,,,,,,
260,1,7,7,9,9,8,8,8,7,5,10,9,8,9,6,9,9,,7,9,10,7,7,8,6,6,8,8,7,9,9,5,7,9,10,8,7,8,9,9,7,5,7,8,5,7,5,9,7,,,6,9,,11,5,6,7,,7,,,5,8,7,7,9,,5,7,7,8,,6,12,6,7,8,8,7,7,,8,9,7,,,7,,7,,7,,,6,,8,,,,,,8,8,11,13,10,4,10,4,9,8,9,8,5,11,7,9,9,7,8,7,,,,,,,,,,,,,,,25,2,,,,3,,,,,,,,,,,1,2,1,2,2,1,4,1,1,2
261,2,10,7,8,9,8,8,6,8,7,7,5,6,10,6,8,7,9,8,10,8,9,7,5,,,10,10,7,10,9,5,7,5,,9,,6,,8,7,9,8,6,5,12,6,11,10,6,,5,5,10,11,7,7,,8,8,9,6,,10,8,8,12,,,8,,9,,8,11,6,7,10,7,6,,,11,8,10,,,8,9,,,,,,8,,,,,,18,16,6,13,12,8,9,7,9,7,7,7,8,8,5,4,6,8,10,5,8,6,117.5,140,110,128.08,81,,,,,,,,,,25,2,5,3,,5,,,,,,,3.92,,,,,,,,,,,,,
262,1,9,5,6,3,7,6,7,5,5,11,9,5,5,5,4,4,6,5,8,7,7,5,9,8,8,6,6,11,4,8,2,6,6,10,8,4,8,6,7,6,3,5,6,10,9,6,5,2,2,8,5,7,8,5,3,5,10,7,6,9,5,5,7,8,5,11,8,9,5,5,9,6,6,11,2,9,8,4,5,5,,11,7,5,5,,8,5,3,,4,,,5,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,6.327,3.44,,,,2,1,2,2,2,1,4,1,2,3
263,1,7.5,8,12,9,8,11,7,7.5,8,,9,7.5,10,6,8,10,,,5,,10,6,,6,6,6,8,7,6,11,5,7,7,,8,6.5,,10,7.5,5,8,7.5,,7.5,9,7,9,6,6,6,7.5,8,,,7,,,7,8,,7,7.5,,,6,9,5,,8,,5,7,6,,8,,9,6.5,12,8,5,,8,7.5,,,,,6,,8,,,7,,11,,,,19,18,8,4,3,3,8,4,6,4,8,5,7,8,5,11,9,6,12,4,4,8,122.5,137.5,,132.16,102,,,,,,,,,,20,1,4,2,,2,,,,,,7.577,5.94,,,,,,,,,,,,,
264,2,10,9,8,,8,7,7,9,7,9,9,7,5,7,8,8,7,6,10,7,10,,8,7,9,5,7,9,5,8,,5,6,10,9,8,7,7,,5,,7,5,5,5,6,,,,9,,4,8,9,,7,8,6,8,9,4,,6,5,,7,,7,6,10,6,8,,5,5,7,6,6,,5,,5,8,,,,5,,5,,4,,,,,6,,,6,6,18,1,16,13,7,5,4,4,5,2,5,4,7,4,12,7,5,7,7,6,4,122.5,162.5,125,141.68,82,,,,,,,,,,35,4,7,4,1,1,,,,,,6.288,6.04,3,1.633,-0.959,1,1,1,2,1,1,4,1,2,2
265,1,8,8,9,7.5,7.5,7.5,7.5,,8,7.5,9,6.5,,7,8,7,6.5,7.5,8,7,8,8,9,6.5,7.5,7,6.5,7.5,6.5,9,7,7.5,8,10,8,,9,9,,6.5,,,7.5,7,8,,,,7.5,8,7.5,8,8,9,,7,8,6,9,7,7.5,,8,8,,,7,8,7,7.5,10,7.5,,,,7.5,8,,,,,7.5,9,,9,,8,,7,,,,,,,,,,,13,12,3,13,8,14,6,6,10,4,4,8,5,7,2,9,4,7,4,8,8,7,137.5,142.5,125,129.44,68,,,,,,,,,,39,4,5,3,2,2,-0.14,0.277,0.558,0.005,-0.139,7.135,6.36,,,,,,,,,,,,,
266,2,7,5,8,11,7.5,6.5,5,7,7.5,7,8,7,11,7.5,6,7,9,6,6.5,8,8,6,9,5,4,9,7,6.5,,7.5,,6.5,7,9,6,6.5,10,7,4,6.5,4,2,4,3,10,5,8,7.5,6,8,4,7,7,7,2,4,7,,9,7,,4,7.5,6,5,8,,11,7,5,10,8,6.5,,5,7.5,8,6.5,4,,,7,7.5,3,7,,6.5,5,7,,,,,,,6.5,,,6.5,14,13,6,5,7,6,10,6,11,8,7,7,10,9,6,8,5,6,10,6,5,7,145,,,,118,,,,,,,,,,24,2,,,,5,,,,,,,6.2,4.167,0.898,0.166,,,,,,,,,,
267,2,8,5,3,6,4,7,4,4,6,5,5,6,7,6,,2,7,,3,4,10,5,7,5,5,6,,6,3,5,3,4,,5,,3,6,4,5,2,,5,8,7,10,5,4,5,6,7,,6,5,6,,6,7,2,6,9,6,5,8,5,5,10,3,7,4,11,5,8,,8,4,7,7,5,2,,,,5,,10,,6,8,,,9,,,,,5,,,7,17,8,8,17,14,15,10,4,11,9,7,11,12,2,6,4,10,3,5,3,9,4,,122.5,,,43,15,10,7,,,,,,,29,3,5,3,3,,,,,,,,,2,1,-3.513,,,,,,,,,,
